"","name","location","affiliation"
"http://data.linkededucation.org/resource/lak/person/jaan-ubi","Jaan Ubi","http://dbpedia.org/resource/Estonia","http://data.linkededucation.org/resource/lak/organization/tallinn-university-of-technology"
"http://data.linkededucation.org/resource/lak/person/amar-balla","Amar Balla","http://dbpedia.org/resource/Algeria","http://data.linkededucation.org/resource/lak/organization/ecole-national-superieure-d-informatique"
"http://data.linkededucation.org/resource/lak/person/moses-hall","Moses Hall","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-pittsburgh"
"http://data.linkededucation.org/resource/lak/person/andrew-olney","Andrew Olney","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/adarsh-g-v","Adarsh G V","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-southern-california"
"http://data.linkededucation.org/resource/lak/person/zoran-jeremic","Zoran Jeremic","http://dbpedia.org/resource/Serbia","http://data.linkededucation.org/resource/lak/organization/university-of-belgrade"
"http://data.linkededucation.org/resource/lak/person/john-c-stamper","John C. Stamper","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/a-a-von-davier","A. A. Von Davier","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/educational-testing-service"
"http://data.linkededucation.org/resource/lak/person/p-s-inventado","P. S. Inventado","http://dbpedia.org/resource/Japan","http://data.linkededucation.org/resource/lak/organization/osaka-university"
"http://data.linkededucation.org/resource/lak/person/blikstein","Blikstein","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/stanford-university"
"http://data.linkededucation.org/resource/lak/person/s-lalle","S. Lalle","http://dbpedia.org/resource/France","http://data.linkededucation.org/resource/lak/organization/universite-joseph-fourier"
"http://data.linkededucation.org/resource/lak/person/nema-dean","Nema Dean","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/university-of-glasgow"
"http://data.linkededucation.org/resource/lak/person/robert-kraut","Robert Kraut","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/vasile-rus","Vasile Rus","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/w-van-den-noortgate","W. Van Den Noortgate","http://dbpedia.org/resource/Belgium","http://data.linkededucation.org/resource/lak/organization/katholieke-universiteit-leuven"
"http://data.linkededucation.org/resource/lak/person/lubomir-popelinsky","Lubomir Popelinsky","http://dbpedia.org/resource/Czech_Republic","http://data.linkededucation.org/resource/lak/organization/masaryk-university"
"http://data.linkededucation.org/resource/lak/person/diane-halpern","Diane Halpern","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/claremont-graduate-university"
"http://data.linkededucation.org/resource/lak/person/p-desmet","P. Desmet","http://dbpedia.org/resource/Belgium","http://data.linkededucation.org/resource/lak/organization/katholieke-universiteit-leuven"
"http://data.linkededucation.org/resource/lak/person/kwangsu-cho","Kwangsu Cho","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-missouri"
"http://data.linkededucation.org/resource/lak/person/ari-bader-natal","Ari Bader-Natal","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/grockit,-inc"
"http://data.linkededucation.org/resource/lak/person/nobal-niraula","Nobal Niraula","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/minjeong-kim","Minjeong Kim","http://dbpedia.org/resource/South_Korea","http://data.linkededucation.org/resource/lak/organization/dankook-university"
"http://data.linkededucation.org/resource/lak/person/kar-hai-chu","Kar-Hai Chu","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-hawaii"
"http://data.linkededucation.org/resource/lak/person/g-goguadze","G. Goguadze","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/saarland-university"
"http://data.linkededucation.org/resource/lak/person/brian-j-mcnely","Brian J. McNely","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/ball-state-university"
"http://data.linkededucation.org/resource/lak/person/ahmad-ammari","Ahmad Ammari","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/university-of-leeds"
"http://data.linkededucation.org/resource/lak/person/yanbo-xu","Yanbo Xu","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/anjo-anjewierden","Anjo Anjewierden","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/university-of-twente"
"http://data.linkededucation.org/resource/lak/person/s-sosnovsky","S. Sosnovsky","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/dfki"
"http://data.linkededucation.org/resource/lak/person/david-wiley","David Wiley","http://dbpedia.org/resource/","http://data.linkededucation.org/resource/lak/organization/"
"http://data.linkededucation.org/resource/lak/person/simone-braun","Simone Braun","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/fzi-research-center-for-information-technologies"
"http://data.linkededucation.org/resource/lak/person/david-nadler-prata","David Nadler Prata","http://dbpedia.org/resource/Brasil","http://data.linkededucation.org/resource/lak/organization/universidade-federal-de-alagoas"
"http://data.linkededucation.org/resource/lak/person/tobias-ley","Tobias Ley","http://dbpedia.org/resource/Estonia","http://data.linkededucation.org/resource/lak/organization/tallinn-university"
"http://data.linkededucation.org/resource/lak/person/younyoung-choi","Younyoung Choi","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-maryland"
"http://data.linkededucation.org/resource/lak/person/sidney-d-mello","Sidney D'mello","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/tiffany-barnes","Tiffany Barnes","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-north-carolina-at-charlotte"
"http://data.linkededucation.org/resource/lak/person/shane-dawson","Shane Dawson","http://dbpedia.org/resource/Canada","http://data.linkededucation.org/resource/lak/organization/university-of-british-columbia"
"http://data.linkededucation.org/resource/lak/person/william-galen","William Galen","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/pearson"
"http://data.linkededucation.org/resource/lak/person/m-hammed-abdous","M'hammed Abdous","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/dominion-university"
"http://data.linkededucation.org/resource/lak/person/haiming-liu","Haiming Liu","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/the-open-university"
"http://data.linkededucation.org/resource/lak/person/kaicheng-yang","Kaicheng Yang","http://dbpedia.org/resource/China","http://data.linkededucation.org/resource/lak/organization/beijing-normal-university"
"http://data.linkededucation.org/resource/lak/person/christin-seifert","Christin Seifert","http://dbpedia.org/resource/Austria","http://data.linkededucation.org/resource/lak/organization/graz-university-of-technology"
"http://data.linkededucation.org/resource/lak/person/ilya-m-goldin","Ilya M. Goldin","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/roberto-martinez-maldonado","Roberto Martinez Maldonado","http://dbpedia.org/resource/Australia","http://data.linkededucation.org/resource/lak/organization/university-of-sydney"
"http://data.linkededucation.org/resource/lak/person/m-munna","M. Munna","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/brett-leber","Brett Leber","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/diederik-m-roijers","Diederik M. Roijers","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/utrecht-university"
"http://data.linkededucation.org/resource/lak/person/sharon-slade","Sharon Slade","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/the-open-university"
"http://data.linkededucation.org/resource/lak/person/michal-burda","Michal Burda","http://dbpedia.org/resource/Czech_Republic","http://data.linkededucation.org/resource/lak/organization/university-of-ostrava"
"http://data.linkededucation.org/resource/lak/person/m-ifland","M. Ifland","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/universitat-wurzburg"
"http://data.linkededucation.org/resource/lak/person/emma-brunskill","Emma Brunskill","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/nicolai-manie","Nicolai Manie","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/maastricht-university"
"http://data.linkededucation.org/resource/lak/person/dmitry-ignatov","Dmitry Ignatov","http://dbpedia.org/resource/Russia","http://data.linkededucation.org/resource/lak/organization/national-research-university"
"http://data.linkededucation.org/resource/lak/person/bao-hong-tan","Bao Hong Tan","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/philip-parli-horne","Philip Parli-Horne","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/ball-state-university"
"http://data.linkededucation.org/resource/lak/person/victor-miagkikh","Victor Miagkikh","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-hawaii"
"http://data.linkededucation.org/resource/lak/person/kate-miller","Kate Miller","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-michigan"
"http://data.linkededucation.org/resource/lak/person/beverly-park-woolf","Beverly Park Woolf","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-massachusetts"
"http://data.linkededucation.org/resource/lak/person/lori-lockyer","Lori Lockyer","http://dbpedia.org/resource/Australia","http://data.linkededucation.org/resource/lak/organization/university-of-wollongong"
"http://data.linkededucation.org/resource/lak/person/anna-lea-dyckhoff","Anna Lea Dyckhoff","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/rwth-aachen-university"
"http://data.linkededucation.org/resource/lak/person/whitney-cade","Whitney Cade","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/peter-brusilovsky","Peter Brusilovsky","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-pittsburgh"
"http://data.linkededucation.org/resource/lak/person/carin-neitzel","Carin Neitzel","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/vanderbilt-university"
"http://data.linkededucation.org/resource/lak/person/anupriya-gupta","Anupriya Gupta","http://dbpedia.org/resource/India","http://data.linkededucation.org/resource/lak/organization/educational-initiatives-pvt-ltd"
"http://data.linkededucation.org/resource/lak/person/cherng-jyh-yen","Cherng-Jyh Yen","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/dominion-university"
"http://data.linkededucation.org/resource/lak/person/benjamin-wolf","Benjamin Wolf","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/beuth-university-of-applied-sciences"
"http://data.linkededucation.org/resource/lak/person/michael-atkisson","Michael Atkisson","http://dbpedia.org/resource/","http://data.linkededucation.org/resource/lak/organization/"
"http://data.linkededucation.org/resource/lak/person/sicco-verwer","Sicco Verwer","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/eindhoven-university-of-technology"
"http://data.linkededucation.org/resource/lak/person/rasil-warnakulasooriya","Rasil Warnakulasooriya","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/pearson"
"http://data.linkededucation.org/resource/lak/person/tim-krones","Tim Krones","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/saarland-university"
"http://data.linkededucation.org/resource/lak/person/kyle-cunningham","Kyle Cunningham","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/yoav-bergner","Yoav Bergner","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/massachusetts-institute-of-technology"
"http://data.linkededucation.org/resource/lak/person/nell-duke","Nell Duke","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/michigan-state-university"
"http://data.linkededucation.org/resource/lak/person/rebecca-ferguson","Rebecca Ferguson","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/the-open-university"
"http://data.linkededucation.org/resource/lak/person/doug-clow","Doug Clow","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/the-open-university"
"http://data.linkededucation.org/resource/lak/person/christian-schunn","Christian Schunn","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-pittsburgh"
"http://data.linkededucation.org/resource/lak/person/ivon-arroyo","Ivon Arroyo","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-massachusetts"
"http://data.linkededucation.org/resource/lak/person/f-lemmerich","F. Lemmerich","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/universitat-wurzburg"
